נתונים היסטוריים - סוף יום ת"א-35,,,,,,
מתאריך 01/01/2000  עד תאריך 30/01/2010
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
28/01/2010,1125.04,1134.92,1135.79,1137.11,1128.89,493171033
27/01/2010,1128.47,1126.59,1125.04,1133.45,1122.06,490251550
26/01/2010,1136.36,1122.41,1128.47,1129.82,1120.62,491471313
25/01/2010,1128.98,1134.74,1136.36,1140.57,1132.85,493781611
24/01/2010,1155.62,1128.15,1128.98,1132.52,1126.84,491862789
21/01/2010,1151.92,1152.82,1155.62,1157.10,1147.11,504042755
20/01/2010,1156.38,1152.33,1151.92,1160.86,1151.47,501216579
19/01/2010,1159.23,1159.15,1156.38,1159.41,1148.76,503497873
18/01/2010,1157.04,1156.10,1159.23,1160.70,1148.61,504567747
17/01/2010,1146.95,1139.50,1157.04,1157.62,1136.15,504071186
14/01/2010,1151.90,1160.05,1146.95,1161.08,1144.37,502471905
13/01/2010,1145.85,1144.87,1151.90,1153.11,1144.34,503395365
12/01/2010,1169.71,1168.47,1145.85,1169.16,1143.44,501500441
11/01/2010,1179.12,1180.22,1169.71,1180.22,1169.71,511641499
10/01/2010,1166.23,1175.17,1179.12,1179.12,1173.45,515430164
07/01/2010,1169.75,1166.46,1166.23,1168.02,1161.92,506845656
06/01/2010,1168.65,1166.97,1169.75,1169.76,1162.14,506604138
05/01/2010,1163.11,1165.75,1168.65,1170.22,1163.71,508161587
04/01/2010,1157.90,1162.89,1163.11,1166.20,1159.55,502360982
03/01/2010,1145.06,1144.82,1157.90,1158.60,1144.82,501191294
31/12/2009,1140.69,1147.41,1145.06,1148.63,1144.83,495996104
30/12/2009,1138.37,1133.93,1140.69,1143.35,1132.62,491563872
29/12/2009,1142.73,1141.80,1138.37,1142.01,1135.85,491977083
28/12/2009,1135.99,1144.17,1142.73,1144.88,1139.70,494172890
27/12/2009,1146.28,1150.84,1135.99,1151.77,1134.32,492490558
24/12/2009,1129.90,1145.74,1146.28,1146.28,1137.79,496543536
23/12/2009,1130.10,1135.51,1129.90,1137.61,1129.06,490512336
22/12/2009,1117.38,1125.24,1130.10,1130.91,1125.09,487629558
21/12/2009,1115.17,1115.97,1117.38,1120.02,1114.37,481204224
20/12/2009,1105.34,1113.18,1115.17,1116.43,1109.66,481597003
17/12/2009,1120.60,1112.02,1105.34,1114.02,1103.85,478520132
16/12/2009,1112.14,1112.83,1120.60,1121.99,1111.25,483612397
15/12/2009,1128.39,1128.61,1112.14,1129.80,1112.14,482530239
14/12/2009,1119.68,1127.90,1128.39,1128.82,1122.97,486587335
13/12/2009,1122.31,1123.59,1119.68,1127.28,1115.51,483105071
10/12/2009,1109.15,1111.60,1122.31,1122.31,1109.58,483928946
09/12/2009,1111.85,1113.32,1109.15,1116.75,1106.48,478708061
08/12/2009,1122.33,1121.48,1111.85,1128.52,1106.59,482671797
07/12/2009,1126.69,1122.94,1122.33,1126.95,1119.34,486669665
06/12/2009,1114.72,1115.89,1126.69,1126.69,1115.31,487979349
03/12/2009,1100.93,1112.03,1114.72,1114.77,1108.11,484249381
02/12/2009,1097.52,1099.59,1100.93,1103.52,1096.25,477448467
01/12/2009,1082.55,1084.67,1097.52,1097.52,1084.33,475589411
30/11/2009,1073.07,1085.62,1082.55,1087.20,1076.15,471532919
29/11/2009,1078.88,1074.16,1073.07,1078.59,1067.65,468031926
26/11/2009,1090.80,1093.82,1078.88,1093.82,1078.20,470644185
25/11/2009,1082.04,1086.46,1090.80,1097.84,1084.47,476491595
24/11/2009,1077.90,1073.82,1082.04,1082.04,1073.22,476255724
23/11/2009,1067.51,1073.75,1077.90,1080.08,1073.22,473668989
22/11/2009,1065.34,1061.36,1067.51,1069.93,1060.12,470321375
19/11/2009,1065.75,1065.75,1065.34,1066.56,1059.51,469308400
